PC: 0x00	 Op: 0x0	 NOP
PC: 0x3E	 Op: 0x0	 NOP
PC: 0x3F	 Op: 0x0	 NOP
PC: 0x40	 Op: 0x0	 NOP
PC: 0x41	 Op: 0x0	 NOP
PC: 0x42	 Op: 0x0	 NOP
PC: 0x43	 Op: 0x0	 NOP
PC: 0x44	 Op: 0x0	 NOP
PC: 0x45	 Op: 0x0	 NOP
PC: 0x46	 Op: 0x0	 NOP
PC: 0x47	 Op: 0x0	 NOP
PC: 0x48	 Op: 0x0	 NOP
PC: 0x49	 Op: 0x0	 NOP
PC: 0x4A	 Op: 0x0	 NOP
PC: 0x4B	 Op: 0x0	 NOP
PC: 0x4C	 Op: 0x0	 NOP
PC: 0x4D	 Op: 0x0	 NOP
PC: 0x4E	 Op: 0x0	 NOP
PC: 0x4F	 Op: 0x0	 NOP
PC: 0x50	 Op: 0x0	 NOP
PC: 0x51	 Op: 0x0	 NOP
PC: 0x52	 Op: 0x0	 NOP
PC: 0x53	 Op: 0x0	 NOP
PC: 0x54	 Op: 0x0	 NOP
PC: 0x55	 Op: 0x0	 NOP
PC: 0x56	 Op: 0x0	 NOP
PC: 0x57	 Op: 0x0	 NOP
PC: 0x58	 Op: 0x0	 NOP
PC: 0x59	 Op: 0x0	 NOP
PC: 0x5A	 Op: 0x0	 NOP
PC: 0x5B	 Op: 0x0	 NOP
PC: 0x5C	 Op: 0x0	 NOP
PC: 0x5D	 Op: 0x0	 NOP
PC: 0x5E	 Op: 0x0	 NOP
PC: 0x5F	 Op: 0x0	 NOP
PC: 0x60	 Op: 0x0	 NOP
PC: 0x61	 Op: 0x0	 NOP
PC: 0x62	 Op: 0x0	 NOP
PC: 0x63	 Op: 0x0	 NOP
PC: 0x64	 Op: 0x0	 NOP
PC: 0x65	 Op: 0x0	 NOP
PC: 0x66	 Op: 0x0	 NOP
PC: 0x67	 Op: 0x0	 NOP
PC: 0x68	 Op: 0x0	 NOP
PC: 0x69	 Op: 0x0	 NOP
PC: 0x6A	 Op: 0x0	 NOP
PC: 0x6B	 Op: 0x0	 NOP
PC: 0x6C	 Op: 0x0	 NOP
PC: 0x6D	 Op: 0x0	 NOP
PC: 0x6E	 Op: 0x0	 NOP
PC: 0x6F	 Op: 0x0	 NOP
PC: 0x70	 Op: 0x0	 NOP
PC: 0x71	 Op: 0x0	 NOP
PC: 0x72	 Op: 0x0	 NOP
PC: 0x73	 Op: 0x0	 NOP
PC: 0x74	 Op: 0x0	 NOP
PC: 0x75	 Op: 0x0	 NOP
PC: 0x76	 Op: 0x0	 NOP
PC: 0x77	 Op: 0x0	 NOP
PC: 0x78	 Op: 0x0	 NOP
PC: 0x79	 Op: 0x0	 NOP
PC: 0x7A	 Op: 0x0	 NOP
PC: 0x7B	 Op: 0x0	 NOP
PC: 0x7C	 Op: 0x0	 NOP
PC: 0x7D	 Op: 0x0	 NOP
PC: 0x7E	 Op: 0x0	 NOP
PC: 0x7F	 Op: 0x0	 NOP
PC: 0x80	 Op: 0x0	 NOP
PC: 0x81	 Op: 0x0	 NOP
PC: 0x82	 Op: 0x0	 NOP
PC: 0x83	 Op: 0x0	 NOP
PC: 0x84	 Op: 0x0	 NOP
PC: 0x85	 Op: 0x0	 NOP
PC: 0x86	 Op: 0x0	 NOP
PC: 0x87	 Op: 0x0	 NOP
PC: 0x88	 Op: 0x0	 NOP
PC: 0x89	 Op: 0x0	 NOP
PC: 0x8A	 Op: 0x0	 NOP
PC: 0x8B	 Op: 0x0	 NOP
PC: 0x8C	 Op: 0x0	 NOP
PC: 0x8D	 Op: 0x0	 NOP
PC: 0x8E	 Op: 0x0	 NOP
PC: 0x8F	 Op: 0x0	 NOP
PC: 0x90	 Op: 0x0	 NOP
PC: 0x91	 Op: 0x0	 NOP
PC: 0x92	 Op: 0x0	 NOP
PC: 0x93	 Op: 0x0	 NOP
PC: 0x94	 Op: 0x0	 NOP
PC: 0x95	 Op: 0x0	 NOP
PC: 0x96	 Op: 0x0	 NOP
PC: 0x97	 Op: 0x0	 NOP
PC: 0x98	 Op: 0x0	 NOP
PC: 0x99	 Op: 0x0	 NOP
PC: 0x9A	 Op: 0x0	 NOP
PC: 0x9B	 Op: 0x0	 NOP
PC: 0x9C	 Op: 0x0	 NOP
PC: 0x9D	 Op: 0x0	 NOP
PC: 0x9E	 Op: 0x0	 NOP
PC: 0x9F	 Op: 0x0	 NOP
PC: 0xA0	 Op: 0x0	 NOP
PC: 0xA1	 Op: 0x0	 NOP
PC: 0xA2	 Op: 0x0	 NOP
PC: 0xA3	 Op: 0x0	 NOP
PC: 0xA4	 Op: 0x0	 NOP
PC: 0xA5	 Op: 0x0	 NOP
PC: 0xA6	 Op: 0x0	 NOP
PC: 0xA7	 Op: 0x0	 NOP
PC: 0xA8	 Op: 0x0	 NOP
PC: 0xA9	 Op: 0x0	 NOP
PC: 0xAA	 Op: 0x0	 NOP
PC: 0xAB	 Op: 0x0	 NOP
PC: 0xAC	 Op: 0x0	 NOP
PC: 0xAD	 Op: 0x0	 NOP
PC: 0xAE	 Op: 0x0	 NOP
PC: 0xAF	 Op: 0x0	 NOP
PC: 0xB0	 Op: 0x0	 NOP
PC: 0xB1	 Op: 0x0	 NOP
PC: 0xB2	 Op: 0x0	 NOP
PC: 0xB3	 Op: 0x0	 NOP
PC: 0xB4	 Op: 0x0	 NOP
PC: 0xB5	 Op: 0x0	 NOP
PC: 0xB6	 Op: 0x0	 NOP
PC: 0xB7	 Op: 0x0	 NOP
PC: 0xB8	 Op: 0x0	 NOP
PC: 0xB9	 Op: 0x0	 NOP
PC: 0xBA	 Op: 0x0	 NOP
PC: 0xBB	 Op: 0x0	 NOP
PC: 0xBC	 Op: 0x0	 NOP
PC: 0xBD	 Op: 0x0	 NOP
PC: 0xBE	 Op: 0x0	 NOP
PC: 0xBF	 Op: 0x0	 NOP
PC: 0xC0	 Op: 0x0	 NOP
PC: 0xC1	 Op: 0x0	 NOP
PC: 0xC2	 Op: 0x0	 NOP
PC: 0xC3	 Op: 0x0	 NOP
PC: 0xC4	 Op: 0x0	 NOP
PC: 0xC5	 Op: 0x0	 NOP
PC: 0xC6	 Op: 0x0	 NOP
PC: 0xC7	 Op: 0x0	 NOP
PC: 0xC8	 Op: 0x0	 NOP
PC: 0xC9	 Op: 0x0	 NOP
PC: 0xCA	 Op: 0x0	 NOP
PC: 0xCB	 Op: 0x0	 NOP
PC: 0xCC	 Op: 0x0	 NOP
PC: 0xCD	 Op: 0x0	 NOP
PC: 0xCE	 Op: 0x0	 NOP
PC: 0xCF	 Op: 0x0	 NOP
PC: 0xD0	 Op: 0x0	 NOP
PC: 0xD1	 Op: 0x0	 NOP
PC: 0xD2	 Op: 0x0	 NOP
PC: 0xD3	 Op: 0x0	 NOP
PC: 0xD4	 Op: 0x0	 NOP
PC: 0xD5	 Op: 0x0	 NOP
PC: 0xD6	 Op: 0x0	 NOP
PC: 0xD7	 Op: 0x0	 NOP
PC: 0xD8	 Op: 0x0	 NOP
PC: 0xD9	 Op: 0x0	 NOP
PC: 0xDA	 Op: 0x0	 NOP
PC: 0xDB	 Op: 0x0	 NOP
PC: 0xDC	 Op: 0x0	 NOP
PC: 0xDD	 Op: 0x0	 NOP
PC: 0xDE	 Op: 0x0	 NOP
PC: 0xDF	 Op: 0x0	 NOP
PC: 0xE0	 Op: 0x0	 NOP
PC: 0xE1	 Op: 0x0	 NOP
PC: 0xE2	 Op: 0x0	 NOP
PC: 0xE3	 Op: 0x0	 NOP
PC: 0xE4	 Op: 0x0	 NOP
PC: 0xE5	 Op: 0x0	 NOP
PC: 0xE6	 Op: 0x0	 NOP
PC: 0xE7	 Op: 0x0	 NOP
PC: 0xE8	 Op: 0x0	 NOP
PC: 0xE9	 Op: 0x0	 NOP
PC: 0xEA	 Op: 0x0	 NOP
PC: 0xEB	 Op: 0x0	 NOP
PC: 0xEC	 Op: 0x0	 NOP
PC: 0xED	 Op: 0x0	 NOP
PC: 0xEE	 Op: 0x0	 NOP
PC: 0xEF	 Op: 0x0	 NOP
PC: 0xF0	 Op: 0x0	 NOP
PC: 0xF1	 Op: 0x0	 NOP
PC: 0xF2	 Op: 0x0	 NOP
PC: 0xF3	 Op: 0x0	 NOP
PC: 0xF4	 Op: 0x0	 NOP
PC: 0xF5	 Op: 0x0	 NOP
PC: 0xF6	 Op: 0x0	 NOP
PC: 0xF7	 Op: 0x0	 NOP
PC: 0xF8	 Op: 0x0	 NOP
PC: 0xF9	 Op: 0x0	 NOP
PC: 0xFA	 Op: 0x0	 NOP
PC: 0xFB	 Op: 0x0	 NOP
PC: 0xFC	 Op: 0x0	 NOP
PC: 0xFD	 Op: 0x0	 NOP
PC: 0xFE	 Op: 0x0	 NOP
PC: 0xFF	 Op: 0x0	 NOP
PC: 0x100	 Op: 0x0	 NOP
PC: 0x101	 Op: 0xC3	 JP a16	 $0x213
PC: 0x104	 Op: 0xCE	 ADC A,d8	 $0xED
PC: 0x106	 Op: 0x66	 LD H,(HL)
PC: 0x107	 Op: 0x66	 LD H,(HL)
PC: 0x108	 Op: 0xCC	 CALL Z,a16	 $0x0D
PC: 0x10B	 Op: 0xB	 DEC BC
PC: 0x10C	 Op: 0x3	 INC BC
PC: 0x10D	 Op: 0x73	 LD (HL),E
PC: 0x10E	 Op: 0x0	 NOP
PC: 0x10F	 Op: 0x83	 ADD A,E
PC: 0x110	 Op: 0x0	 NOP
PC: 0x111	 Op: 0xC	 INC C
PC: 0x112	 Op: 0x0	 NOP
PC: 0x113	 Op: 0xD	 DEC C
PC: 0x114	 Op: 0x0	 NOP
PC: 0x115	 Op: 0x8	 LD (a16),SP	 $0x1F11
PC: 0x118	 Op: 0x88	 ADC A,B
PC: 0x119	 Op: 0x89	 ADC A,C
PC: 0x11A	 Op: 0x0	 NOP
PC: 0x11B	 Op: 0xE	 LD C,d8	 $0xDC
PC: 0x11D	 Op: 0xCC	 CALL Z,a16	 $0xE66E
PC: 0x120	 Op: 0xDD	 ?
PC: 0x121	 Op: 0xDD	 ?
PC: 0x122	 Op: 0xD9	 RETI
PC: 0x123	 Op: 0x99	 SBC A,C
PC: 0x124	 Op: 0xBB	 CP E
PC: 0x125	 Op: 0xBB	 CP E
PC: 0x126	 Op: 0x67	 LD H,A
PC: 0x127	 Op: 0x63	 LD H,E
PC: 0x128	 Op: 0x6E	 LD L,(HL)
PC: 0x129	 Op: 0xE	 LD C,d8	 $0xEC
PC: 0x12B	 Op: 0xCC	 CALL Z,a16	 $0xDCDD
PC: 0x12E	 Op: 0x99	 SBC A,C
PC: 0x12F	 Op: 0x9F	 SBC A,A
PC: 0x130	 Op: 0xBB	 CP E
PC: 0x131	 Op: 0xB9	 CP C
PC: 0x132	 Op: 0x33	 INC SP
PC: 0x133	 Op: 0x3E	 LD A,d8	 $0x00
PC: 0x135	 Op: 0x0	 NOP
PC: 0x136	 Op: 0x0	 NOP
PC: 0x137	 Op: 0x0	 NOP
PC: 0x138	 Op: 0x0	 NOP
PC: 0x139	 Op: 0x0	 NOP
PC: 0x13A	 Op: 0x0	 NOP
PC: 0x13B	 Op: 0x0	 NOP
PC: 0x13C	 Op: 0x0	 NOP
PC: 0x13D	 Op: 0x0	 NOP
PC: 0x13E	 Op: 0x0	 NOP
PC: 0x13F	 Op: 0x0	 NOP
PC: 0x140	 Op: 0x0	 NOP
PC: 0x141	 Op: 0x0	 NOP
PC: 0x142	 Op: 0x0	 NOP
PC: 0x143	 Op: 0x80	 ADD A,B
PC: 0x144	 Op: 0x0	 NOP
PC: 0x145	 Op: 0x0	 NOP
PC: 0x146	 Op: 0x0	 NOP
PC: 0x147	 Op: 0x1	 LD BC,d16	 $0x00
PC: 0x14A	 Op: 0x0	 NOP
PC: 0x14B	 Op: 0x0	 NOP
PC: 0x14C	 Op: 0x0	 NOP
PC: 0x14D	 Op: 0x66	 LD H,(HL)
PC: 0x14E	 Op: 0x7C	 LD A,H
PC: 0x14F	 Op: 0x28	 JR Z,r8	 $0x00
PC: 0x151	 Op: 0x0	 NOP
PC: 0x152	 Op: 0x0	 NOP
PC: 0x153	 Op: 0x0	 NOP
PC: 0x154	 Op: 0x0	 NOP
PC: 0x155	 Op: 0x0	 NOP
PC: 0x156	 Op: 0x0	 NOP
PC: 0x157	 Op: 0x0	 NOP
PC: 0x158	 Op: 0x0	 NOP
PC: 0x159	 Op: 0x0	 NOP
PC: 0x15A	 Op: 0x0	 NOP
PC: 0x15B	 Op: 0x0	 NOP
PC: 0x15C	 Op: 0x0	 NOP
PC: 0x15D	 Op: 0x0	 NOP
PC: 0x15E	 Op: 0x0	 NOP
PC: 0x15F	 Op: 0x0	 NOP
PC: 0x160	 Op: 0x0	 NOP
PC: 0x161	 Op: 0x0	 NOP
PC: 0x162	 Op: 0x0	 NOP
PC: 0x163	 Op: 0x0	 NOP
PC: 0x164	 Op: 0x0	 NOP
PC: 0x165	 Op: 0x0	 NOP
PC: 0x166	 Op: 0x0	 NOP
PC: 0x167	 Op: 0x0	 NOP
PC: 0x168	 Op: 0x0	 NOP
PC: 0x169	 Op: 0x0	 NOP
PC: 0x16A	 Op: 0x0	 NOP
PC: 0x16B	 Op: 0x0	 NOP
PC: 0x16C	 Op: 0x0	 NOP
PC: 0x16D	 Op: 0x0	 NOP
PC: 0x16E	 Op: 0x0	 NOP
PC: 0x16F	 Op: 0x0	 NOP
PC: 0x170	 Op: 0x0	 NOP
PC: 0x171	 Op: 0x0	 NOP
PC: 0x172	 Op: 0x0	 NOP
PC: 0x173	 Op: 0x0	 NOP
PC: 0x174	 Op: 0x0	 NOP
PC: 0x175	 Op: 0x0	 NOP
PC: 0x176	 Op: 0x0	 NOP
PC: 0x177	 Op: 0x0	 NOP
PC: 0x178	 Op: 0x0	 NOP
PC: 0x179	 Op: 0x0	 NOP
PC: 0x17A	 Op: 0x0	 NOP
PC: 0x17B	 Op: 0x0	 NOP
PC: 0x17C	 Op: 0x0	 NOP
PC: 0x17D	 Op: 0x0	 NOP
PC: 0x17E	 Op: 0x0	 NOP
PC: 0x17F	 Op: 0x0	 NOP
PC: 0x180	 Op: 0x0	 NOP
PC: 0x181	 Op: 0x0	 NOP
PC: 0x182	 Op: 0x0	 NOP
PC: 0x183	 Op: 0x0	 NOP
PC: 0x184	 Op: 0x0	 NOP
PC: 0x185	 Op: 0x0	 NOP
PC: 0x186	 Op: 0x0	 NOP
PC: 0x187	 Op: 0x0	 NOP
PC: 0x188	 Op: 0x0	 NOP
PC: 0x189	 Op: 0x0	 NOP
PC: 0x18A	 Op: 0x0	 NOP
PC: 0x18B	 Op: 0x0	 NOP
PC: 0x18C	 Op: 0x0	 NOP
PC: 0x18D	 Op: 0x0	 NOP
PC: 0x18E	 Op: 0x0	 NOP
PC: 0x18F	 Op: 0x0	 NOP
PC: 0x190	 Op: 0x0	 NOP
PC: 0x191	 Op: 0x0	 NOP
PC: 0x192	 Op: 0x0	 NOP
PC: 0x193	 Op: 0x0	 NOP
PC: 0x194	 Op: 0x0	 NOP
PC: 0x195	 Op: 0x0	 NOP
PC: 0x196	 Op: 0x0	 NOP
PC: 0x197	 Op: 0x0	 NOP
PC: 0x198	 Op: 0x0	 NOP
PC: 0x199	 Op: 0x0	 NOP
PC: 0x19A	 Op: 0x0	 NOP
PC: 0x19B	 Op: 0x0	 NOP
PC: 0x19C	 Op: 0x0	 NOP
PC: 0x19D	 Op: 0x0	 NOP
PC: 0x19E	 Op: 0x0	 NOP
PC: 0x19F	 Op: 0x0	 NOP
PC: 0x1A0	 Op: 0x0	 NOP
PC: 0x1A1	 Op: 0x0	 NOP
PC: 0x1A2	 Op: 0x0	 NOP
PC: 0x1A3	 Op: 0x0	 NOP
PC: 0x1A4	 Op: 0x0	 NOP
PC: 0x1A5	 Op: 0x0	 NOP
PC: 0x1A6	 Op: 0x0	 NOP
PC: 0x1A7	 Op: 0x0	 NOP
PC: 0x1A8	 Op: 0x0	 NOP
PC: 0x1A9	 Op: 0x0	 NOP
PC: 0x1AA	 Op: 0x0	 NOP
PC: 0x1AB	 Op: 0x0	 NOP
PC: 0x1AC	 Op: 0x0	 NOP
PC: 0x1AD	 Op: 0x0	 NOP
PC: 0x1AE	 Op: 0x0	 NOP
PC: 0x1AF	 Op: 0x0	 NOP
PC: 0x1B0	 Op: 0x0	 NOP
PC: 0x1B1	 Op: 0x0	 NOP
PC: 0x1B2	 Op: 0x0	 NOP
PC: 0x1B3	 Op: 0x0	 NOP
PC: 0x1B4	 Op: 0x0	 NOP
PC: 0x1B5	 Op: 0x0	 NOP
PC: 0x1B6	 Op: 0x0	 NOP
PC: 0x1B7	 Op: 0x0	 NOP
PC: 0x1B8	 Op: 0x0	 NOP
PC: 0x1B9	 Op: 0x0	 NOP
PC: 0x1BA	 Op: 0x0	 NOP
PC: 0x1BB	 Op: 0x0	 NOP
PC: 0x1BC	 Op: 0x0	 NOP
PC: 0x1BD	 Op: 0x0	 NOP
PC: 0x1BE	 Op: 0x0	 NOP
PC: 0x1BF	 Op: 0x0	 NOP
PC: 0x1C0	 Op: 0x0	 NOP
PC: 0x1C1	 Op: 0x0	 NOP
PC: 0x1C2	 Op: 0x0	 NOP
PC: 0x1C3	 Op: 0x0	 NOP
PC: 0x1C4	 Op: 0x0	 NOP
PC: 0x1C5	 Op: 0x0	 NOP
PC: 0x1C6	 Op: 0x0	 NOP
PC: 0x1C7	 Op: 0x0	 NOP
PC: 0x1C8	 Op: 0x0	 NOP
PC: 0x1C9	 Op: 0x0	 NOP
PC: 0x1CA	 Op: 0x0	 NOP
PC: 0x1CB	 Op: 0x0	 NOP
PC: 0x1CC	 Op: 0x0	 NOP
PC: 0x1CD	 Op: 0x0	 NOP
PC: 0x1CE	 Op: 0x0	 NOP
PC: 0x1CF	 Op: 0x0	 NOP
PC: 0x1D0	 Op: 0x0	 NOP
PC: 0x1D1	 Op: 0x0	 NOP
PC: 0x1D2	 Op: 0x0	 NOP
PC: 0x1D3	 Op: 0x0	 NOP
PC: 0x1D4	 Op: 0x0	 NOP
PC: 0x1D5	 Op: 0x0	 NOP
PC: 0x1D6	 Op: 0x0	 NOP
PC: 0x1D7	 Op: 0x0	 NOP
PC: 0x1D8	 Op: 0x0	 NOP
PC: 0x1D9	 Op: 0x0	 NOP
PC: 0x1DA	 Op: 0x0	 NOP
PC: 0x1DB	 Op: 0x0	 NOP
PC: 0x1DC	 Op: 0x0	 NOP
PC: 0x1DD	 Op: 0x0	 NOP
PC: 0x1DE	 Op: 0x0	 NOP
PC: 0x1DF	 Op: 0x0	 NOP
PC: 0x1E0	 Op: 0x0	 NOP
PC: 0x1E1	 Op: 0x0	 NOP
PC: 0x1E2	 Op: 0x0	 NOP
PC: 0x1E3	 Op: 0x0	 NOP
PC: 0x1E4	 Op: 0x0	 NOP
PC: 0x1E5	 Op: 0x0	 NOP
PC: 0x1E6	 Op: 0x0	 NOP
PC: 0x1E7	 Op: 0x0	 NOP
PC: 0x1E8	 Op: 0x0	 NOP
PC: 0x1E9	 Op: 0x0	 NOP
PC: 0x1EA	 Op: 0x0	 NOP
PC: 0x1EB	 Op: 0x0	 NOP
PC: 0x1EC	 Op: 0x0	 NOP
PC: 0x1ED	 Op: 0x0	 NOP
PC: 0x1EE	 Op: 0x0	 NOP
PC: 0x1EF	 Op: 0x0	 NOP
PC: 0x1F0	 Op: 0x0	 NOP
PC: 0x1F1	 Op: 0x0	 NOP
PC: 0x1F2	 Op: 0x0	 NOP
PC: 0x1F3	 Op: 0x0	 NOP
PC: 0x1F4	 Op: 0x0	 NOP
PC: 0x1F5	 Op: 0x0	 NOP
PC: 0x1F6	 Op: 0x0	 NOP
PC: 0x1F7	 Op: 0x0	 NOP
PC: 0x1F8	 Op: 0x0	 NOP
PC: 0x1F9	 Op: 0x0	 NOP
PC: 0x1FA	 Op: 0x0	 NOP
PC: 0x1FB	 Op: 0x0	 NOP
PC: 0x1FC	 Op: 0x0	 NOP
PC: 0x1FD	 Op: 0x0	 NOP
PC: 0x1FE	 Op: 0x0	 NOP
PC: 0x1FF	 Op: 0x0	 NOP
PC: 0x200	 Op: 0x47	 LD B,A
PC: 0x201	 Op: 0x11	 LD DE,d16	 $0xC000
PC: 0x204	 Op: 0xE	 LD C,d8	 $0x10
PC: 0x206	 Op: 0x2A	 LD A,(HL+)
PC: 0x207	 Op: 0x12	 LD (DE),A
PC: 0x208	 Op: 0x1C	 INC E
PC: 0x209	 Op: 0x20	 JR NZ,r8	 $0xFB
PC: 0x20B	 Op: 0x14	 INC D
PC: 0x20C	 Op: 0xD	 DEC C
PC: 0x20D	 Op: 0x20	 JR NZ,r8	 $0xF7
PC: 0x20F	 Op: 0x78	 LD A,B
PC: 0x210	 Op: 0xC3	 JP a16	 $0xC000
PC: 0x213	 Op: 0x21	 LD HL,d16	 $0x4000
PC: 0x216	 Op: 0xC3	 JP a16	 $0x200
PC: 0x219	 Op: 0x0	 NOP
PC: 0x21A	 Op: 0x0	 NOP
PC: 0x21B	 Op: 0x0	 NOP
PC: 0x21C	 Op: 0x0	 NOP
PC: 0x21D	 Op: 0x0	 NOP
PC: 0x21E	 Op: 0x0	 NOP
PC: 0x21F	 Op: 0x0	 NOP
PC: 0x220	 Op: 0x0	 NOP
PC: 0x221	 Op: 0x0	 NOP
PC: 0x222	 Op: 0x0	 NOP
PC: 0x223	 Op: 0x0	 NOP
PC: 0x224	 Op: 0x0	 NOP
PC: 0x225	 Op: 0x0	 NOP
PC: 0x226	 Op: 0x0	 NOP
PC: 0x227	 Op: 0x0	 NOP
PC: 0x228	 Op: 0x0	 NOP
PC: 0x229	 Op: 0x0	 NOP
PC: 0x22A	 Op: 0x0	 NOP
PC: 0x22B	 Op: 0x0	 NOP
PC: 0x22C	 Op: 0x0	 NOP
PC: 0x22D	 Op: 0x0	 NOP
PC: 0x22E	 Op: 0x0	 NOP
PC: 0x22F	 Op: 0x0	 NOP
PC: 0x230	 Op: 0x0	 NOP
PC: 0x231	 Op: 0x0	 NOP
PC: 0x232	 Op: 0x0	 NOP
PC: 0x233	 Op: 0x0	 NOP
PC: 0x234	 Op: 0x0	 NOP
PC: 0x235	 Op: 0x0	 NOP
PC: 0x236	 Op: 0x0	 NOP
PC: 0x237	 Op: 0x0	 NOP
PC: 0x238	 Op: 0x0	 NOP
PC: 0x239	 Op: 0x0	 NOP
PC: 0x23A	 Op: 0x0	 NOP
PC: 0x23B	 Op: 0x0	 NOP
PC: 0x23C	 Op: 0x0	 NOP
PC: 0x23D	 Op: 0x0	 NOP
PC: 0x23E	 Op: 0x0	 NOP
PC: 0x23F	 Op: 0x0	 NOP
PC: 0x240	 Op: 0x0	 NOP
PC: 0x241	 Op: 0x0	 NOP
PC: 0x242	 Op: 0x0	 NOP
PC: 0x243	 Op: 0x0	 NOP
PC: 0x244	 Op: 0x0	 NOP
PC: 0x245	 Op: 0x0	 NOP
PC: 0x246	 Op: 0x0	 NOP
PC: 0x247	 Op: 0x0	 NOP
PC: 0x248	 Op: 0x0	 NOP
PC: 0x249	 Op: 0x0	 NOP
PC: 0x24A	 Op: 0x0	 NOP
PC: 0x24B	 Op: 0x0	 NOP
PC: 0x24C	 Op: 0x0	 NOP
PC: 0x24D	 Op: 0x0	 NOP
PC: 0x24E	 Op: 0x0	 NOP
PC: 0x24F	 Op: 0x0	 NOP
PC: 0x250	 Op: 0x0	 NOP
PC: 0x251	 Op: 0x0	 NOP
PC: 0x252	 Op: 0x0	 NOP
PC: 0x253	 Op: 0x0	 NOP
PC: 0x254	 Op: 0x0	 NOP
PC: 0x255	 Op: 0x0	 NOP
PC: 0x256	 Op: 0x0	 NOP
PC: 0x257	 Op: 0x0	 NOP
PC: 0x258	 Op: 0x0	 NOP
PC: 0x259	 Op: 0x0	 NOP
PC: 0x25A	 Op: 0x0	 NOP
PC: 0x25B	 Op: 0x0	 NOP
PC: 0x25C	 Op: 0x0	 NOP
PC: 0x25D	 Op: 0x0	 NOP
PC: 0x25E	 Op: 0x0	 NOP
PC: 0x25F	 Op: 0x0	 NOP
PC: 0x260	 Op: 0x0	 NOP
PC: 0x261	 Op: 0x0	 NOP
PC: 0x262	 Op: 0x0	 NOP
PC: 0x263	 Op: 0x0	 NOP
PC: 0x264	 Op: 0x0	 NOP
PC: 0x265	 Op: 0x0	 NOP
PC: 0x266	 Op: 0x0	 NOP
PC: 0x267	 Op: 0x0	 NOP
PC: 0x268	 Op: 0x0	 NOP
PC: 0x269	 Op: 0x0	 NOP
PC: 0x26A	 Op: 0x0	 NOP
PC: 0x26B	 Op: 0x0	 NOP
PC: 0x26C	 Op: 0x0	 NOP
PC: 0x26D	 Op: 0x0	 NOP
PC: 0x26E	 Op: 0x0	 NOP
PC: 0x26F	 Op: 0x0	 NOP
PC: 0x270	 Op: 0x0	 NOP
PC: 0x271	 Op: 0x0	 NOP
PC: 0x272	 Op: 0x0	 NOP
PC: 0x273	 Op: 0x0	 NOP
PC: 0x274	 Op: 0x0	 NOP
PC: 0x275	 Op: 0x0	 NOP
